job_id,title,Country,State,City,department,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent,salary_min,salary_max,fraud_label,has_salary
18,Southend-On-Sea Traineeships Under Nas 16-18 Year Olds,United Kingdom,SO,Southend-On-Sea,Unknown,0,1,1,Unknown,Unknown,Unknown,Unknown,Unknown,0,,,Genuine,False
19,Visual Designer,United States,NY,New York,Unknown,0,1,0,Unknown,Unknown,Unknown,Unknown,Unknown,0,,,Genuine,False
20,Process Controls Engineer - Dcs Plc Ms Office - PA,United States,PA,Usa Northeast,Unknown,0,0,0,Full-time,Unknown,Unknown,Unknown,Unknown,0,,,Genuine,False
21,Marketing Assistant,United States,TX,Austin,Unknown,0,1,0,Unknown,Unknown,Unknown,Unknown,Marketing,0,,,Genuine,False
22,Front End Developer,New Zealand,N,Auckland,Unknown,0,1,0,Full-time,Mid-Senior level,Master's Degree,Consumer Electronics,Engineering,0,,,Genuine,False
23,Engagement Manager,United Arab Emirates,Unknown,Unknown,Engagement,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Telecommunications,Sales,0,,,Genuine,False
24,"Vice President, Sales & Sponsorship Businessfriend.Com",United States,CA,Carlsbad,Businessfriend.Com,0,1,0,Full-time,Executive,Unspecified,Internet,Sales,0,100000.0,120000.0,Genuine,True
25,Customer Service,United Kingdom,LN,D London,Unknown,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,0,,,Genuine,False
26,H1B Sponsor L1/L2/Opt,United States,NY,New York,Unknown,0,1,1,Unknown,Unknown,Unknown,Unknown,Unknown,0,,,Genuine,False
27,Marketing Exec,Singapore,Unknown,Unknown,Marketing,0,1,0,Full-time,Associate,Unknown,Online Media,Marketing,0,,,Genuine,False
28,Haad/Dha Licensed Doctors Opening -UAE,United Arab Emirates,AZ,Abudhabi,Medical,0,1,0,Full-time,Associate,Master's Degree,Hospital & Health Care,Health Care Provider,0,,,Genuine,False
29,Talent Management Process Manager,United States,MO,St. Louis,Unknown,0,0,0,Full-time,Unknown,Unknown,Management Consulting,Unknown,0,,,Genuine,False
30,Customer Service Associate,Canada,ON,Toronto,Unknown,0,1,0,Full-time,Entry level,High School/equivalent,Consumer Services,Administrative,0,,,Genuine,False
31,Customer Service Technical Specialist,United States,MA,Waltham,Unknown,0,1,0,Full-time,Entry level,High School/equivalent,Computer Software,Customer Service,0,,,Genuine,False
32,Software Applications Specialist,United States,KS,Unknown,Unknown,0,1,0,Full-time,Associate,Unspecified,Computer Software,Engineering,0,50000.0,65000.0,Genuine,True
33,Craftsman Associate,United States,WA,Everett,Field,0,1,1,Full-time,Entry level,Unspecified,Construction,Other,0,,,Genuine,False
34,Completion Engineer,United States,CA,San Ramon,Unknown,0,1,1,Full-time,Unknown,Bachelor's Degree,Oil & Energy,Engineering,0,,,Genuine,False
36,English Teacher Abroad,United States,NY,Saint Bonaventure,Unknown,0,1,1,Contract,Unknown,Bachelor's Degree,Education Management,Unknown,0,,,Genuine,False
37,Graduates English Teacher Abroad,United States,NY,Yonkers,Unknown,0,1,0,Contract,Unknown,Bachelor's Degree,Education Management,Unknown,0,,,Genuine,False
38,Project Manager,United States,TX,Houston,Unknown,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Oil & Energy,Engineering,0,,,Genuine,False
39,Art Director,India,AP,Hyderabad,Design,0,1,1,Full-time,Mid-Senior level,Unknown,Computer Software,Design,0,,,Genuine,False
40,Receptionist/Customer Service Technical Specialist,United States,IL,Chicago,Unknown,0,1,0,Full-time,Entry level,High School/equivalent,Financial Services,Administrative,0,,,Genuine,False
41,English Teacher Abroad,United States,PA,Kutztown,Unknown,0,1,1,Contract,Unknown,Bachelor's Degree,Education Management,Unknown,0,,,Genuine,False
42,English Teacher Abroad,United States,CA,Sacramento,Unknown,0,1,1,Contract,Unknown,Bachelor's Degree,Education Management,Unknown,0,,,Genuine,False
43,Junior Developer,United States,Unknown,Unknown,Unknown,0,0,0,Full-time,Entry level,Bachelor's Degree,Computer Software,Engineering,0,40000.0,50000.0,Genuine,True
44,Customer Service Associate Receptionist,United States,MD,Columbia,Unknown,0,1,0,Full-time,Entry level,High School/equivalent,Consumer Services,Customer Service,0,,,Genuine,False
45,Customer Service Team Lead,United States,OK,Tulsa,Unknown,0,1,0,Full-time,Entry level,High School/equivalent,Computer Software,Customer Service,0,,,Genuine,False
46,Inside Sales Professional-Omaha,United States,NE,Omaha,Unknown,0,1,0,Full-time,Unknown,Unknown,Building Materials,Sales,0,,,Genuine,False
47,Entry Level,Egypt,C,Unknown,Unknown,0,0,0,Full-time,Entry level,Bachelor's Degree,Banking,Unknown,0,,,Genuine,False
48,Customer Service Associate,United States,TN,Brentwood,Unknown,0,1,0,Full-time,Entry level,High School/equivalent,Financial Services,Administrative,0,,,Genuine,False
49,English Teacher Abroad,United States,OH,Kent,Unknown,0,1,1,Contract,Unknown,Bachelor's Degree,Education Management,Unknown,0,,,Genuine,False
50,Customer Service Team Lead,United States,NH,Dover,Unknown,0,1,0,Full-time,Entry level,High School/equivalent,Facilities Services,Customer Service,0,,,Genuine,False
51,Food Production Manager PGI-Food Production Company,United States,NV,Carson City,Production,0,1,0,Full-time,Entry level,High School/equivalent,Food & Beverages,Production,0,,,Genuine,False
52,Administrative/Front Desk,United States,OK,Tulsa,Unknown,0,1,0,Full-time,Entry level,High School/equivalent,Education Management,Administrative,0,,,Genuine,False
53,Payroll Tax Specialist,United States,NY,New York,Unknown,0,1,0,Full-time,Unknown,Unknown,Information Technology & Services,Unknown,0,,,Genuine,False
54,Technical Project Manager,United States,NY,New York City,Unknown,0,0,0,Full-time,Associate,Bachelor's Degree,Financial Services,Information Technology,0,,,Genuine,False
55,Outside Sales Professional-St. Cloud,United States,MN,St. Cloud,Unknown,0,1,0,Unknown,Unknown,Unknown,Unknown,Unknown,0,,,Genuine,False
56,Junior Hr Marketing Manager,Poland,Unknown,Unknown,Unknown,0,1,1,Unknown,Unknown,Unknown,Unknown,Unknown,0,,,Genuine,False
57,Outside Sales Professional-Oronoco,United States,MN,Oronoco,Unknown,0,1,0,Unknown,Unknown,Unknown,Unknown,Unknown,0,,,Genuine,False
58,Intensive Case Management Worker Bilingual Essential,Canada,ON,Ottawa,Icm,0,1,1,Unknown,Unknown,Bachelor's Degree,Hospital & Health Care,Unknown,0,,,Genuine,False
59,Marketing Guru,United States,TX,Fort Worth,Unknown,0,1,0,Full-time,Associate,Bachelor's Degree,Computer Software,Marketing,0,,,Genuine,False
60,Product Visual Designer,United States,CA,San Francisco,Unknown,0,1,1,Full-time,Not Applicable,Unspecified,Information Technology & Services,Design,0,,,Genuine,False
61,Graduates English Teacher Abroad Conversational,United States,IA,Iowa City,Unknown,0,1,1,Contract,Entry level,Bachelor's Degree,Education Management,Education,0,,,Genuine,False
62,Bulk Ingredient Unloader,United States,IA,Cedar Rapids,General Services,0,1,1,Full-time,Entry level,High School/equivalent,Food Production,Supply Chain,0,,,Genuine,False
64,Customer Services Associate - Mail & Document Preparation,United States,CT,Windsor,Unknown,0,1,0,Full-time,Entry level,High School/equivalent,Hospital & Health Care,Customer Service,0,,,Genuine,False
65,Senior Finance Software Researcher & Engineer,United States,Unknown,Unknown,Unknown,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,0,,,Genuine,False
66,Digital Developer,New Zealand,N,Auckland,Unknown,0,1,1,Full-time,Unknown,Unspecified,Computer Software,Engineering,0,60.0,80.0,Genuine,True
67,As3 / Flash Developer,Greece,I,Athens,Engineering,0,1,1,Unknown,Unknown,Unknown,Unknown,Unknown,0,,,Genuine,False
68,Production Supervisor,United States,PA,Philadelphia,Unknown,0,0,0,Full-time,Unknown,Unknown,Unknown,Unknown,0,,,Genuine,False
69,New Product Development Project Leader,United States,OH,Cincinnati,Unknown,0,0,0,Full-time,Unknown,Unknown,Unknown,Unknown,0,,,Genuine,False
70,Ruby Automation Engineer  &  Ruby On Rails Engineer,United States,CA,Menlo Park Ca,IT,0,0,1,Contract,Unknown,Unknown,Unknown,Information Technology,0,,,Genuine,False
71,Tasting Adventures Presenter,United Kingdom,LN,D London,Marketing,0,1,0,Unknown,Unknown,Unknown,Unknown,Marketing,0,,,Genuine,False
72,Branch Associate,United States,NY,Otisville,Unknown,0,1,1,Full-time,Associate,High School/equivalent,Banking,Customer Service,0,,,Genuine,False
73,Customer Service Associate - Part Time,United States,FL,Plantation,Unknown,0,1,0,Part-time,Entry level,High School/equivalent,Financial Services,Customer Service,0,,,Genuine,False
74,Specialist Obs/Gyn,United Arab Emirates,DU,Dubai,Unknown,0,0,0,Full-time,Unknown,Unknown,"Health, Wellness & Fitness",Unknown,0,,,Genuine,False
75,Call Attendant - Part Time,United States,NH,Dover,Unknown,0,1,0,Part-time,Entry level,High School/equivalent,Insurance,Administrative,0,,,Genuine,False
76,Senior Full-Stack Engineer - Ruby On Rails Technical Lead,Germany,BE,Berlin,Engineering,0,1,1,Full-time,Mid-Senior level,Master's Degree,E-Learning,Engineering,0,,,Genuine,False
77,Medical Coder,United States,TX,Fort Worth,Unknown,0,1,1,Full-time,Associate,High School/equivalent,Hospital & Health Care,Health Care Provider,0,65000.0,70000.0,Genuine,True
78,Mid-Senior .Net/Xamarin Developer,United States,GA,Atlanta,Unknown,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Information Technology,0,75.0,115.0,Genuine,True
79,Experienced Merchant Cash Advance Reps,United States,PA,Scranton,Unknown,1,0,0,Full-time,Mid-Senior level,Unknown,Banking,Business Development,0,,,Genuine,False
80,Product Manager,New Zealand,N,Wel,Unknown,0,1,1,Full-time,Unknown,Bachelor's Degree,Information Technology & Services,Product Management,0,75000.0,110000.0,Genuine,True
81,English Teacher Abroad,United States,CA,Anaheim,Unknown,0,1,1,Contract,Unknown,Bachelor's Degree,Education Management,Unknown,0,,,Genuine,False
82,Customer Service Technical Specialist,United States,CA,San Francisco,Unknown,0,1,0,Full-time,Entry level,High School/equivalent,Financial Services,Customer Service,0,,,Genuine,False
83,Edinburgh Fragrance & Beauty Promotional Staff,United Kingdom,Unknown,Edinburgh,Unknown,0,1,1,Temporary,Associate,Unspecified,Cosmetics,Sales,0,,,Genuine,False
84,Mail Processing Associate - General Clerk,United States,KY,London,Unknown,0,1,0,Full-time,Entry level,High School/equivalent,Consumer Services,Customer Service,0,,,Genuine,False
85,Customer Service Associate,United States,NC,Charlotte,Unknown,0,1,0,Part-time,Entry level,High School/equivalent,Facilities Services,Customer Service,0,,,Genuine,False
86,Research Associate,United States,CA,Newport Beach,Unknown,0,1,1,Full-time,Associate,Bachelor's Degree,Financial Services,Financial Analyst,0,,,Genuine,False
87,Customer Service Team Lead,United States,MN,Minneapolis,Unknown,0,1,0,Full-time,Entry level,High School/equivalent,Hospital & Health Care,Administrative,0,,,Genuine,False
88,Customer Service Associate - On Call,United States,TN,Franklin,Unknown,0,1,0,Full-time,Entry level,High School/equivalent,Insurance,Customer Service,0,,,Genuine,False
89,Sales & Partnerships Intern,Greece,I,Athens,Business Development,0,1,1,Unknown,Unknown,Unknown,Unknown,Unknown,0,,,Genuine,False
90,English Teacher Abroad,Canada,ON,Ottawa,Unknown,0,1,1,Contract,Unknown,Bachelor's Degree,Education Management,Unknown,0,,,Genuine,False
91,Marketing Manager,United States,NY,New York,Marketing,0,1,0,Full-time,Associate,Bachelor's Degree,Marketing & Advertising,Marketing,0,,,Genuine,False
92,Recruitment Consultant,United Kingdom,Unknown,Unknown,Unknown,0,1,0,Full-time,Unknown,Unknown,Staffing & Recruiting,Consulting,0,17000.0,20000.0,Genuine,True
93,Wah Customer Service Repersentative,United States,SC,Columbia,Human Resources,1,0,0,Full-time,Entry level,High School/equivalent,Consumer Services,Human Resources,0,16000.0,28000.0,Genuine,True
94,Administrative Assistant,United States,CA,San Francisco,Unknown,0,1,0,Full-time,Entry level,High School/equivalent,Financial Services,Administrative,0,,,Genuine,False
95,Wf17 9Lu Customer Service Apprenticeship Under Nas 16-18 Year Olds,United Kingdom,Unknown,Birstall,Unknown,0,1,1,Full-time,Not Applicable,High School/equivalent,Unknown,Administrative,0,,,Genuine,False
96,Senior Marketing Manager,United States,Unknown,Unknown,Marketing,0,1,0,Full-time,Director,Master's Degree,Internet,Marketing,0,,,Genuine,False
97,Software Test Engineer Cucumber / Lamp / Automation / Jenkins / Web Testing / Financial Startup,United Kingdom,Unknown,London,Unknown,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Financial Services,Information Technology,0,,,Genuine,False
98,Customer Service Associate,United States,PA,Pittsburgh,Unknown,0,1,0,Full-time,Entry level,High School/equivalent,Consumer Services,Customer Service,0,,,Genuine,False
99,Ic & E Technician,United States,Unknown,Stocton Ca,Oil  &  Energy,0,1,1,Full-time,Mid-Senior level,High School/equivalent,Oil & Energy,Other,1,95000.0,115000.0,Fraudulent,True
100,English Teacher Abroad,United States,NY,New York,Unknown,0,1,1,Contract,Unknown,Bachelor's Degree,Education Management,Unknown,0,,,Genuine,False
101,Cad Operator,United States,NC,Raleigh,Unknown,0,1,0,Unknown,Unknown,Unknown,Unknown,Unknown,0,,,Genuine,False
102,English Teacher Abroad,Canada,MB,Winnipeg,Unknown,0,1,1,Contract,Unknown,Bachelor's Degree,Education Management,Unknown,0,,,Genuine,False
103,Marketing Administrator,United Kingdom,WA,R Coventry,Marketplace,1,1,0,Full-time,Entry level,Bachelor's Degree,Internet,Marketing,0,15000.0,18000.0,Genuine,True
104,Customer Service Associate - Part Time,United States,NY,New York,Unknown,0,1,0,Full-time,Entry level,High School/equivalent,Financial Services,Customer Service,0,,,Genuine,False
105,Shipping Clerk,United States,PA,Reading,Unknown,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,0,,,Genuine,False
106,Manager Of Support Services,United States,FL,Jacksonville,Cloud Services,1,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Internet,Information Technology,0,,,Genuine,False
107,Gatwick Customer Service Apprenticeship 16-18 Year Olds,United Kingdom,Unknown,Gatwick,Unknown,0,1,1,Full-time,Internship,High School/equivalent,Unknown,Unknown,0,,,Genuine,False
108,Senior Developer At A Startup Investment Studio,United Kingdom,LN,D London,Fp,0,1,0,Full-time,Not Applicable,Unspecified,Venture Capital & Private Equity,Information Technology,0,50000.0,70000.0,Genuine,True
109,Software Project Manager,United States,NC,Charlotte,Client Services,0,0,1,Full-time,Mid-Senior level,Unknown,Computer Software,Project Management,0,,,Genuine,False
110,Director Of Client Engagement,United States,TX,Dallas,Unknown,0,1,0,Full-time,Director,Bachelor's Degree,Management Consulting,Management,0,,,Genuine,False
111,Customer Services Associate - Data Entry,United States,CT,Windsor,Unknown,0,1,0,Full-time,Entry level,High School/equivalent,Hospital & Health Care,Customer Service,0,,,Genuine,False
112,Customer Service Associate - Part Time,United States,IN,Indianapolis,Unknown,0,1,0,Part-time,Entry level,High School/equivalent,Hospital & Health Care,Customer Service,0,,,Genuine,False
113,Customer Service Associate - Part Time,United States,OR,Portland,Unknown,0,1,0,Part-time,Entry level,High School/equivalent,Insurance,Customer Service,0,,,Genuine,False
114,Operations Manager,United Kingdom,WL,V Kingswinford,Operations,0,1,0,Full-time,Mid-Senior level,Unknown,"Leisure, Travel & Tourism",Management,0,45000.0,60000.0,Genuine,True
115,Regional Sales Director - West,United States,CA,Los Angeles,Sales,1,1,0,Unknown,Unknown,Unknown,Unknown,Sales,0,,,Genuine,False
116,Birmingham Business Admin Apprenticeship Under Nas 16-18 Year Olds,United Kingdom,BI,R Birmingham,Unknown,0,1,1,Unknown,Not Applicable,High School/equivalent,Human Resources,Human Resources,0,,,Genuine,False
117,Executive Assistant,United States,CA,San Francisco,Unknown,0,1,1,Full-time,Entry level,Bachelor's Degree,Internet,Administrative,0,,,Genuine,False
118,Materials Manager,United States,IL,Melrose Park,Materials,0,1,1,Unknown,Unknown,Unknown,Unknown,Unknown,0,,,Genuine,False
119,"Member Of Technical Staff, Backend",United States,NY,New York,Unknown,0,1,0,Full-time,Director,Unknown,Computer Software,Unknown,0,,,Genuine,False
120,English Teacher Abroad,United States,MA,Amherst,Unknown,0,1,1,Contract,Unknown,Bachelor's Degree,Education Management,Unknown,0,,,Genuine,False
121,Executive Administrative Assistant,United States,CT,Stamford,Unknown,0,1,0,Full-time,Associate,High School/equivalent,Consumer Services,Administrative,0,,,Genuine,False
122,Smart-Meter Expert,Germany,BY,Wiepoldsried,Tech,0,1,1,Full-time,Unknown,Unknown,Unknown,Unknown,0,,,Genuine,False
123,English Teacher Abroad,Canada,ON,Brampton,Unknown,0,1,1,Contract,Unknown,Bachelor's Degree,Education Management,Unknown,0,,,Genuine,False
124,English Teacher Abroad,United States,CO,Fort Collins,Unknown,0,1,1,Contract,Unknown,Bachelor's Degree,Education Management,Unknown,0,,,Genuine,False
125,Customer Service Associate - Part Time,United States,FL,Boca Raton,Unknown,0,1,0,Part-time,Entry level,High School/equivalent,Education Management,Customer Service,0,,,Genuine,False
126,Marketing Associate,United States,NY,Brooklyn,Unknown,0,1,1,Full-time,Associate,Bachelor's Degree,Marketing & Advertising,Marketing,0,,,Genuine,False
127,Game  &  Feature Specialist,Greece,I,Athens,Unknown,0,1,0,Full-time,Mid-Senior level,Unknown,Internet,Unknown,0,,,Genuine,False
128,Pharmaceutical / Compound Sales Representative- Georgia,United States,GA,Unknown,Sales,0,1,1,Full-time,Associate,Unspecified,Pharmaceuticals,Sales,0,,,Genuine,False
129,Precision Intern Spring,United States,IA,Harlan/Ames,Unknown,0,1,1,Temporary,Internship,Some College Coursework Completed,Farming,Unknown,0,,,Genuine,False
130,Customer Service Associate,United States,TX,Dallas,Unknown,0,1,0,Full-time,Entry level,High School/equivalent,Telecommunications,Customer Service,0,,,Genuine,False
131,Customer Service Associate - Call Attendant,United States,NH,Bedford,Unknown,0,1,0,Full-time,Entry level,High School/equivalent,Insurance,Customer Service,0,,,Genuine,False
132,Milton Keynes Fragrance & Beauty Promotional Staff,United Kingdom,Unknown,Milton Keynes,Unknown,0,1,1,Temporary,Associate,Unspecified,Cosmetics,Sales,0,,,Genuine,False
133,Senior Java Developer,United Kingdom,MA,N Wigan,Unknown,0,1,0,Full-time,Mid-Senior level,Unknown,Computer Software,Design,0,30000.0,40000.0,Genuine,True
134,English Teacher Abroad,United States,NV,Reno,Unknown,0,1,1,Contract,Unknown,Bachelor's Degree,Education Management,Unknown,0,,,Genuine,False
135,Senior Business Development Manager,United Kingdom,Unknown,Manchester,Sales & Business Development,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Financial Services,Sales,0,70000.0,90000.0,Genuine,True
136,English Teacher Abroad,United States,NC,Fayetteville,Unknown,0,1,1,Contract,Unknown,Bachelor's Degree,Education Management,Unknown,0,,,Genuine,False
138,Head Of Marketing Option Cmo,Germany,Unknown,Berlin,Unknown,0,1,1,Unknown,Unknown,Unknown,Unknown,Unknown,0,,,Genuine,False
139,Customer Service Technical Specialist- Reprographics Specialist,United States,NY,New York,Unknown,0,1,0,Full-time,Entry level,High School/equivalent,Financial Services,Customer Service,0,,,Genuine,False
140,Customer Service Associate,United States,NY,New York,Unknown,0,1,0,Full-time,Entry level,High School/equivalent,Facilities Services,Customer Service,0,,,Genuine,False
141,English Teacher Abroad,United States,PA,Philadelphia,Unknown,0,1,1,Contract,Unknown,Bachelor's Degree,Education Management,Unknown,0,,,Genuine,False
142,Customer Service Associate,United States,CA,Palo Alto,Unknown,0,1,0,Full-time,Entry level,High School/equivalent,Legal Services,Customer Service,0,,,Genuine,False
143,Bi Developer,Israel,TA,Tel Aviv,R & D,0,1,0,Unknown,Unknown,Unknown,Unknown,Unknown,0,,,Genuine,False
144,English Teacher Abroad Conversational,United States,TX,Hidalgo,Unknown,0,1,1,Contract,Entry level,Bachelor's Degree,Education Management,Education,0,,,Genuine,False
145,Forward Cap,,Unknown,Unknown,Unknown,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,1,,,Fraudulent,False
146,.Net Web Developer,Greece,I,Athens,Development,0,1,0,Full-time,Associate,Unspecified,Computer Software,Other,0,10000.0,14000.0,Genuine,True
148,Cnc Programmer,United States,PA,Philadelphia,Unknown,0,0,0,Full-time,Unknown,Unknown,Unknown,Unknown,0,,,Genuine,False
149,Ui/Ux Developer At Starttech Ventures,Greece,I,Athens,Incubation Services,0,1,1,Full-time,Associate,Bachelor's Degree,Computer Software,Unknown,0,,,Genuine,False
150,Account Executive - Philadelphia,United States,PA,Philadelphia,Sales,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Sales,0,,,Genuine,False
151,Web Developer,United States,AZ,Phoenix,Unknown,0,1,0,Full-time,Associate,Unspecified,Marketing & Advertising,Information Technology,0,,,Genuine,False
152,English Teacher Abroad,United States,MO,St. Louis,Unknown,0,1,1,Contract,Unknown,Bachelor's Degree,Education Management,Unknown,0,,,Genuine,False
153,Digital Sales Manager - High End Decor,United States,NY,New York,Unknown,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Luxury Goods & Jewelry,Sales,0,50.0,110.0,Genuine,True
154,Senior Project Manager,United Kingdom,Unknown,London,Production,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Internet,Production,0,28000.0,45000.0,Genuine,True
155,Production Operator,United States,MA,Haverhill,Unknown,0,0,0,Contract,Unknown,High School/equivalent,Machinery,Production,0,0.0,34300.0,Genuine,True
156,Customer Service Professional - Property Management Industry Exp,United States,NJ,Piscataway,Unknown,0,0,0,Full-time,Associate,High School/equivalent,Real Estate,Customer Service,0,35000.0,40000.0,Genuine,True
157,Choose Your Own Adventure,United States,VA,Richmond,Unknown,0,1,0,Unknown,Unknown,Unknown,Unknown,Unknown,0,,,Genuine,False
158,English Teacher Abroad,United States,AL,Jacksonville,Unknown,0,1,1,Contract,Unknown,Bachelor's Degree,Education Management,Unknown,0,,,Genuine,False
159,Customer Support Professional,United States,Unknown,Unknown,Unknown,1,0,1,Contract,Unknown,Unknown,Unknown,Customer Service,0,,,Genuine,False
160,General Laborers,United States,CT,Hartford,Unknown,0,1,1,Unknown,Unknown,Unknown,Unknown,Unknown,0,,,Genuine,False
161,Field Services Supervisor,United States,WI,Western Wisconsin,Field Operations,0,0,0,Full-time,Associate,High School/equivalent,Mechanical/Industrial Engineering,Manufacturing,0,44000.0,57000.0,Genuine,True
162,Vp Of Engineering,United States,MI,Detroit,Unknown,0,0,1,Full-time,Director,Bachelor's Degree,Unknown,Unknown,0,,,Genuine,False
163,Account Manager Fashion,Australia,NS,W Sydney,Unknown,0,1,0,Full-time,Mid-Senior level,Unknown,Public Relations & Communications,Public Relations,0,,,Genuine,False
164,Customer Service Associate - Data Entry,United States,CT,Windsor,Unknown,0,1,0,Full-time,Entry level,High School/equivalent,Consumer Services,Customer Service,0,,,Genuine,False
165,Marketing Executive,Egypt,C,Cairo,Marketing,0,1,0,Full-time,Entry level,Bachelor's Degree,Telecommunications,Marketing,0,,,Genuine,False
166,Sales & Marketing Intern,United Kingdom,Unknown,London,Unknown,0,1,1,Full-time,Internship,Bachelor's Degree,Computer Software,Marketing,0,18500.0,28000.0,Genuine,True
167,Exports Area Manager,Greece,I,Athens,Sales,0,0,0,Full-time,Mid-Senior level,Master's Degree,Consumer Goods,Sales,0,,,Genuine,False
168,Entry Level Sales,United States,MD,Baltimore,Unknown,0,0,0,Full-time,Entry level,High School/equivalent,Financial Services,Sales,0,55000.0,75000.0,Genuine,True
169,Marketing Sales Assistant,Greece,I,Athens,Mkt,0,1,0,Full-time,Entry level,Bachelor's Degree,Marketing & Advertising,Administrative,0,,,Genuine,False
170,Customer Service Team Lead,United States,SD,Rapid City,Unknown,0,1,0,Full-time,Entry level,High School/equivalent,Financial Services,Customer Service,0,,,Genuine,False
171,Micro-Grid Systems Engineer,Germany,BY,Wiepoldsried,Tech,0,1,1,Full-time,Unknown,Unknown,Unknown,Unknown,0,,,Genuine,False
172,System Administrator,United Kingdom,CM,D London,Technology,0,1,0,Full-time,Associate,Vocational,Marketing & Advertising,Information Technology,0,30000.0,35000.0,Genuine,True
173,Registrar'S -Psychiatry,Australia,QL,D Brisbane,Unknown,0,1,0,Full-time,Associate,Unknown,Medical Practice,Unknown,0,,,Genuine,False
174,Technician Instrument  &  Controls,United States,Unknown,Unknown,Power Plant  &  Energy,0,1,1,Full-time,Mid-Senior level,Certification,Electrical/Electronic Manufacturing,Other,1,,,Fraudulent,False
175,Newcastle Fragrance & Beauty Promotional Staff,United States,Unknown,Newcastle,Unknown,0,1,1,Full-time,Associate,Unknown,Cosmetics,Sales,0,,,Genuine,False
176,Customer Service Associate - Part Time,United States,NY,New York,Unknown,0,1,0,Part-time,Entry level,High School/equivalent,Financial Services,Administrative,0,,,Genuine,False
177,English Teacher Abroad,United States,VA,Virginia Beach,Unknown,0,1,1,Contract,Unknown,Bachelor's Degree,Education Management,Unknown,0,,,Genuine,False
